formula,T,target,test YS,mul,add,sqrt,,,formula,T,target,test UTS
Nb92.0Hf5.4Ti2.0Zr0.5,24,347.51,,140890.9793,752.94,533.9819145,,,Nb92.0Hf5.4Ti2.0Zr0.5,24,405.43,
Nb92.0Hf5.4Ti2.0Zr0.5,1093,126.87,,23880.7401,315.1,226.994559,,,Nb92.0Hf5.4Ti2.0Zr0.5,1093,188.23,
Nb92.0Hf5.4Ti2.0Zr0.5,1371,71.02,,5876.1948,153.76,109.0401211,,,Nb92.0Hf5.4Ti2.0Zr0.5,1371,82.74,
Nb92.0Hf5.4Ti2.0Zr0.5,1482,59.3,,3884.15,124.8,88.35575816,,,Nb92.0Hf5.4Ti2.0Zr0.5,1482,65.5,
Nb92.0Hf5.4Ti2.0Zr0.5,1649,28.96,,998.5408,63.44,45.02834663,,,Nb92.0Hf5.4Ti2.0Zr0.5,1649,34.48,
Nb88.6Hf5.8W5.6,24,487.48,,284693.1948,1071.49,760.726252,,,Nb88.6Hf5.8W5.6,24,584.01,
Nb88.6Hf5.8W5.6,316,313.03,,127343.7343,719.84,513.3051305,,,Nb88.6Hf5.8W5.6,316,406.81,
Nb88.6Hf5.8W5.6,649,248.91,,101428.3359,656.4,477.4979458,,,Nb88.6Hf5.8W5.6,649,407.49,
Nb88.6Hf5.8W5.6,1093,200.64,,54228.9792,470.92,336.6120735,,,Nb88.6Hf5.8W5.6,1093,270.28,
Nb88.6Hf5.8W5.6,1371,138.59,,20831.4629,288.9,204.451178,,,Nb88.6Hf5.8W5.6,1371,150.31,
Nb88.6Hf5.8W5.6,1482,120.66,,15224.8788,246.84,174.5858757,,,Nb88.6Hf5.8W5.6,1482,126.18,
Nb88.6Hf5.8W5.6,1649,79.98,,6783.1038,164.79,116.5741674,,,Nb88.6Hf5.8W5.6,1649,84.81,
Nb87.7W11.2Zr1.1,24,985.99,,1165923.315,2168.48,1539.629462,,,Nb87.7W11.2Zr1.1,24,1182.49,
Nb87.7W11.2Zr1.1,871,635.72,,444024.9912,1334.18,944.4502581,,,Nb87.7W11.2Zr1.1,871,698.46,
Nb87.7W11.2Zr1.1,1093,559.18,,327724.2144,1145.26,810.0444672,,,Nb87.7W11.2Zr1.1,1093,586.08,
Nb87.7W11.2Zr1.1,1204,462.65,,229358.7375,958.4,678.0951887,,,Nb87.7W11.2Zr1.1,1204,495.75,
Nb64.4W10.2Ti19.5Mo5.8,204,655.03,,447130.0283,1337.64,946.0553435,,,Nb64.4W10.2Ti19.5Mo5.8,204,682.61,
Nb64.4W10.2Ti19.5Mo5.8,316,537.81,,324466.1511,1141.12,808.2218459,,,Nb64.4W10.2Ti19.5Mo5.8,316,603.31,
Nb64.4W10.2Ti19.5Mo5.8,427,475.76,,265711.96,1034.26,733.6687451,,,Nb64.4W10.2Ti19.5Mo5.8,427,558.5,
Nb64.4W10.2Ti19.5Mo5.8,538,448.18,,262669.3344,1034.26,737.804228,,,Nb64.4W10.2Ti19.5Mo5.8,538,586.08,
Nb64.4W10.2Ti19.5Mo5.8,649,424.04,,236826.34,982.54,701.2361739,,,Nb64.4W10.2Ti19.5Mo5.8,649,558.5,
Nb64.4W10.2Ti19.5Mo5.8,760,424.04,,236826.34,982.54,701.2361739,,,Nb64.4W10.2Ti19.5Mo5.8,760,558.5,
Nb64.4W10.2Ti19.5Mo5.8,871,393.02,,195110.8488,889.46,633.1803803,,,Nb64.4W10.2Ti19.5Mo5.8,871,496.44,
Nb64.4W10.2Ti19.5Mo5.8,982,330.96,,122084.5248,699.84,495.5875059,,,Nb64.4W10.2Ti19.5Mo5.8,982,368.88,
Nb64.4W10.2Ti19.5Mo5.8,1093,313.72,,105993.4392,651.58,461.052728,,,Nb64.4W10.2Ti19.5Mo5.8,1093,337.86,
